country,region.value,income,health,population
Mozambique,Sub-Saharan Africa,1176,"56,4",27977863
Myanmar,East Asia & Pacific,4012,"67,9",53897154
Namibia,Sub-Saharan Africa,10040,61,2458830
Nepal,South Asia,2352,"71,2",28513700
Netherlands,Europe & Central Asia,45784,"80,6",16924929
New Zealand,East Asia & Pacific,34186,"80,6",4528526
Nicaragua,Latin America & Caribbean,4712,"76,8",6082032
Niger,Sub-Saharan Africa,943,"62,2",19899120
Nigeria,Sub-Saharan Africa,5727,"61,33",182201962
North Korea,East Asia & Pacific,1390,"71,4",25155317
Norway,Europe & Central Asia,64304,"81,6",5210967
Oman,Middle East & North Africa,48226,"75,7",4490541
Pakistan,South Asia,4743,"66,5",188924874
Panama,Latin America & Caribbean,20485,"78,2",3929141
Papua New Guinea,East Asia & Pacific,2529,"60,6",7619321
Paraguay,Latin America & Caribbean,8219,"73,9",6639123
Peru,Latin America & Caribbean,11903,"77,5",31376670
Philippines,East Asia & Pacific,6876,"70,2",100699395
Poland,Europe & Central Asia,24787,"77,3",38611794
Portugal,Europe & Central Asia,26437,"79,8",10349803
Qatar,Middle East & North Africa,132877,82,2235355
Romania,Europe & Central Asia,19203,"76,8",19511324
Russia,Europe & Central Asia,23038,"73,13",143456918
Rwanda,Sub-Saharan Africa,1549,"66,53",11609666
Samoa,East Asia & Pacific,5558,"72,2",193228
Sao Tome and Principe,Sub-Saharan Africa,3003,"68,8",190344
Saudi Arabia,Middle East & North Africa,52469,"78,1",31540372
Senegal,Sub-Saharan Africa,2251,"66,1",15129273
Serbia,Europe & Central Asia,12908,"78,1",8850975
Seychelles,Sub-Saharan Africa,25684,"73,7",96471
Sierra Leone,Sub-Saharan Africa,2085,"58,5",6453184
Singapore,East Asia & Pacific,80794,"82,1",5603740
Slovak Republic,Europe & Central Asia,27204,"76,4",5426258
Slovenia,Europe & Central Asia,28550,"80,2",2067526
Solomon Islands,East Asia & Pacific,2047,"64,1",583591
Somalia,Sub-Saharan Africa,624,"58,7",10787104
South Africa,Sub-Saharan Africa,12509,"63,72",54490406
South Korea,South Asia,34644,"80,7",50293439
South Sudan,Sub-Saharan Africa,3047,58,12339812
Spain,Europe & Central Asia,32979,"81,7",46121699
Sri Lanka,South Asia,10624,"76,5",20715010
St. Lucia,Latin America & Caribbean,9997,"74,5",184999
St. Vincent and the Grenadines,Latin America & Caribbean,10435,"72,9",109462
Sudan,Sub-Saharan Africa,3975,"69,5",40234882
Suriname,Latin America & Caribbean,17125,"70,5",542975
Swaziland,Sub-Saharan Africa,6095,"51,5",1286970
Sweden,Europe & Central Asia,44892,82,9779426
Switzerland,Europe & Central Asia,56118,"82,9",8298663
Syria,Middle East & North Africa,4637,"70,26",18502413
Tajikistan,Europe & Central Asia,2582,71,8481855
Tanzania,Sub-Saharan Africa,2571,"63,43",53470420
Thailand,South Asia,14512,"75,1",67959359
Timor-Leste,South Asia,2086,"72,4",1184765
Togo,Sub-Saharan Africa,1433,"64,23",7304578
Tonga,East Asia & Pacific,5069,"70,5",106170
Trinidad and Tobago,Latin America & Caribbean,30113,"71,4",1360088
Tunisia,Middle East & North Africa,11126,"77,3",11253554
Turkey,Middle East & North Africa,19360,"76,5",78665830
Turkmenistan,Europe & Central Asia,15865,"67,9",5373502
Uganda,Sub-Saharan Africa,1680,"60,8",39032383
Ukraine,Europe & Central Asia,8449,"72,1",44823765
United Arab Emirates,Middle East & North Africa,60749,"76,6",9156963
United Kingdom,Europe & Central Asia,38225,"81,4",64715810
United States,North America,53354,"79,1",321773631
Uruguay,Latin America & Caribbean,20438,"77,3",3431555
Uzbekistan,Europe & Central Asia,5598,"70,1",29893488
Vanuatu,East Asia & Pacific,2912,65,264652
Venezuela,Latin America & Caribbean,15753,"75,8",31108083
Vietnam,South Asia,5623,"76,5",93447601
West Bank and Gaza,Middle East & North Africa,4319,"75,2",4668466
Yemen,Middle East & North Africa,3887,"67,6",26832215
Zambia,Sub-Saharan Africa,4034,"58,96",16211767
Zimbabwe,Sub-Saharan Africa,1801,"60,01",15602751
